Lamda	Re.Total
380	0.001514332
381	0.001931366
382	0.001782642
383	0.001995194
384	0.002003721
385	0.0018324
386	0.001605555
387	0.001686743
388	0.00177181
389	0.001802369
390	0.0016694
391	0.001664968
392	0.001764309
393	0.001699395
394	0.002039863
395	0.002149158
396	0.002055269
397	0.002212977
398	0.002415342
399	0.002483523
400	0.002570349
401	0.002584252
402	0.002806884
403	0.002911674
404	0.003166203
405	0.003242732
406	0.003646827
407	0.003998009
408	0.004259363
409	0.004589493
410	0.005114951
411	0.005628654
412	0.00627269
413	0.006799169
414	0.007665544
415	0.008609873
416	0.009672429
417	0.010678359
418	0.012376684
419	0.013720632
420	0.015512255
421	0.017505692
422	0.020033287
423	0.022566459
424	0.025209413
425	0.028584975
426	0.031898208
427	0.035622298
428	0.040004887
429	0.044650778
430	0.049629478
431	0.055041678
432	0.060940656
433	0.06726717
434	0.074323567
435	0.081628282
436	0.089605687
437	0.097958056
438	0.106464945
439	0.116357462
440	0.12621505
441	0.136957163
442	0.148143597
443	0.160007454
444	0.172531193
445	0.186357737
446	0.200955482
447	0.216753903
448	0.234515157
449	0.253942826
450	0.275182894
451	0.299115358
452	0.325152962
453	0.354207468
454	0.386254242
455	0.419873285
456	0.456177968
457	0.494809721
458	0.532834993
459	0.573174909
460	0.610314557
461	0.647442233
462	0.680884452
463	0.710771916
464	0.734738187
465	0.75466505
466	0.767714453
467	0.77346265
468	0.778407221
469	0.772463478
470	0.763208918
471	0.748439058
472	0.729409612
473	0.704621187
474	0.679485946
475	0.654065626
476	0.62625497
477	0.598174725
478	0.571706521
479	0.545525332
480	0.519758203
481	0.494709033
482	0.469880106
483	0.447864233
484	0.427660092
485	0.406421608
486	0.388528863
487	0.371319426
488	0.355763737
489	0.340604646
490	0.328529649
491	0.316857435
492	0.306787752
493	0.299041615
494	0.291223407
495	0.286105358
496	0.282331652
497	0.280417426
498	0.278645339
499	0.278686655
500	0.28019621
501	0.28275206
502	0.286878074
503	0.291892946
504	0.298957275
505	0.306668088
506	0.315575724
507	0.326082343
508	0.337467782
509	0.349871632
510	0.362626428
511	0.376830193
512	0.391738194
513	0.406774882
514	0.422026319
515	0.437552569
516	0.452525576
517	0.467171233
518	0.481337123
519	0.49513135
520	0.507771951
521	0.518640724
522	0.52828842
523	0.536263282
524	0.54275396
525	0.548450237
526	0.551251953
527	0.552692402
528	0.553961846
529	0.553730162
530	0.552440461
531	0.549572847
532	0.546729994
533	0.543411665
534	0.539172493
535	0.534870796
536	0.530700752
537	0.525928659
538	0.522037779
539	0.517866907
540	0.514286616
541	0.510174264
542	0.506870475
543	0.503463815
544	0.500340149
545	0.497267676
546	0.49480515
547	0.492572156
548	0.490294479
549	0.489069882
550	0.487445764
551	0.486608118
552	0.484980927
553	0.484969646
554	0.484489609
555	0.484506787
556	0.485108983
557	0.485737165
558	0.486476928
559	0.487782416
560	0.489607202
561	0.491103559
562	0.493362961
563	0.495640605
564	0.498365033
565	0.500830011
566	0.503205654
567	0.506252704
568	0.509916434
569	0.513244435
570	0.516487767
571	0.520134804
572	0.523809709
573	0.528025059
574	0.531704604
575	0.535444493
576	0.539526491
577	0.543259729
578	0.547652398
579	0.551359568
580	0.555659995
581	0.559102912
582	0.56284721
583	0.567111325
584	0.570191352
585	0.573770151
586	0.577660035
587	0.581156728
588	0.584185296
589	0.587587908
590	0.590588799
591	0.593817261
592	0.596051244
593	0.598871774
594	0.601309544
595	0.603563653
596	0.605747442
597	0.607483674
598	0.608674039
599	0.610784951
600	0.612093014
601	0.612994543
602	0.613678243
603	0.615419206
604	0.615968647
605	0.615652762
606	0.616021243
607	0.614998117
608	0.615469617
